time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
7.7024,349.75,160.75,137.0080,0.7556,30.0083
7.7506,351.00,160.75,138.2672,0.7556,30.2542
7.7825,352.00,160.75,139.2747,0.7556,30.2542
7.8305,353.00,160.75,140.2821,0.7556,30.2542
7.8785,354.00,160.75,141.2895,0.7556,30.2542
7.9105,355.25,161.00,142.5487,0.5037,29.7710
7.9587,356.50,160.75,143.8080,0.7556,29.7793
7.9905,357.50,160.75,144.8154,0.7556,29.7793
8.0384,358.50,160.75,145.8228,0.7556,29.7793
8.0865,360.00,160.50,147.3340,1.0074,30.0083
8.1185,361.00,160.50,148.3414,1.0074,30.0083
8.1664,362.00,160.50,149.3488,1.0074,30.0083
8.1985,363.00,160.50,150.3562,1.0074,30.0083
8.2463,364.00,160.50,151.3636,1.0074,30.0083
8.2944,365.00,160.50,152.3710,1.0074,30.0083
8.3268,366.00,160.50,153.3784,1.0074,30.0083
8.3745,367.25,160.50,154.6377,1.0074,29.7626
8.4062,368.25,160.50,155.6451,1.0074,29.7626
8.4545,369.50,160.25,156.9044,1.2593,29.7793
8.5027,370.75,160.25,158.1636,1.2593,29.5253
8.5344,372.00,160.25,159.4229,1.2593,29.7625
8.5825,373.25,160.00,160.6821,1.5111,29.7542
8.6304,374.25,160.00,161.6896,1.5111,29.7542
8.6625,375.25,160.00,162.6970,1.5111,29.7542
8.7105,375.75,160.00,163.2007,1.5111,29.7713
8.7427,376.75,160.00,164.2081,1.5111,29.7713
8.7904,378.00,159.75,165.4674,1.7630,30.2542
8.8391,378.75,160.00,166.2229,1.5111,29.7713
8.8705,380.00,160.00,167.4822,1.5111,30.0166
8.9187,381.00,160.00,168.4896,1.5111,30.0166
8.9505,382.50,160.00,170.0007,1.5111,30.0083
8.9985,383.25,159.50,170.7563,2.0148,29.7626
9.0465,384.75,159.50,172.2674,2.0148,29.7626
9.0782,386.00,159.50,173.5266,2.0148,30.0083
9.1265,387.00,159.50,174.5341,2.0148,30.0083
9.1588,388.00,159.50,175.5415,2.0148,30.0083
9.2065,389.00,159.50,176.5489,2.0148,30.0083
9.2547,390.00,159.50,177.5563,2.0148,30.0083
9.2865,391.00,159.50,178.5637,2.0148,30.0083
9.3343,392.00,159.50,179.5711,2.0148,30.0083
9.3664,393.00,159.50,180.5785,2.0148,30.0083
9.4146,394.25,159.50,181.8378,2.0148,29.7626
9.4623,395.50,159.50,183.0971,2.0148,29.5419
9.4945,396.50,159.25,184.1045,2.2667,29.7626
9.5425,398.00,159.25,185.6156,2.2667,29.7708
9.5745,398.75,159.00,186.3711,2.5185,29.7708
9.6225,400.00,158.75,187.6304,2.7704,29.7713
9.6706,401.25,159.00,188.8897,2.5185,29.7542
9.7025,402.25,159.00,189.8971,2.5185,29.7542
9.7505,402.75,159.00,190.4008,2.5185,29.7713
9.7825,403.75,159.00,191.4082,2.5185,29.7713
9.8305,404.75,159.00,192.4156,2.5185,29.7713
9.8788,406.00,159.00,193.6749,2.5185,30.0166
9.9105,407.25,158.75,194.9341,2.7704,30.0085
9.9585,408.50,159.00,196.1934,2.5185,30.0083
9.9909,409.50,159.00,197.2008,2.5185,30.0083
10.0386,410.50,159.00,198.2082,2.5185,30.0083
10.0867,411.50,158.75,199.2156,2.7704,30.2624
10.1185,413.00,158.50,200.7268,3.0222,30.0083
10.1665,413.50,158.50,201.2305,3.0222,30.0167
10.1985,415.00,158.50,202.7416,3.0222,30.0083
10.2466,416.00,158.50,203.7490,3.0222,30.0083
10.2944,417.00,158.50,204.7564,3.0222,30.0083
10.3265,418.00,158.75,205.7638,2.7704,29.7708
10.3746,419.00,158.75,206.7712,2.7704,29.7708
10.4065,420.25,158.50,208.0305,3.0222,29.7626
10.4545,421.00,158.75,208.7861,2.7704,29.7708
10.5026,421.50,158.50,209.2898,3.0222,30.0167
10.5344,421.50,158.50,209.2898,3.0222,30.0167
10.5825,421.50,158.50,209.2898,3.0222,30.0167
10.6306,422.00,158.25,209.7935,3.2741,29.7708
10.6627,422.00,158.00,209.7935,3.5259,30.0166
10.7106,422.00,158.00,209.7935,3.5259,30.0166
10.7426,422.00,158.50,209.7935,3.0222,30.0083
10.7905,422.25,158.50,210.0453,3.0222,30.2624
10.8386,422.50,158.25,210.2972,3.2741,30.2624
10.8706,423.00,158.25,210.8009,3.2741,30.2701
10.9189,423.00,158.25,210.8009,3.2741,30.2701
10.9505,423.25,158.25,211.0527,3.2741,30.0251
10.9985,423.00,158.25,210.8009,3.2741,30.2708
11.0466,423.50,158.50,211.3046,3.0222,30.5081
11.0787,423.50,158.00,211.3046,3.5259,30.5164
11.1265,423.75,158.00,211.5564,3.5259,30.7622
11.1587,423.75,158.50,211.5564,3.0222,30.7701
11.2067,424.00,157.75,211.8083,3.7778,30.7622
11.2546,424.50,158.00,212.3120,3.5259,31.0081
11.2864,424.50,158.25,212.3120,3.2741,30.7701
11.3345,424.50,158.25,212.3120,3.2741,30.7701
11.3666,425.00,158.00,212.8157,3.5259,31.0161
