time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
4.1486,3.3305,0.0000,-0.1575,0.9847,0.0144
4.1699,3.3516,0.0000,-0.1575,0.9905,0.2695
4.1913,3.3726,0.0000,-0.1575,0.9871,-0.1567
4.2127,3.3937,0.0000,-0.1575,0.9804,-0.3149
4.2341,3.4147,0.0000,-0.1575,0.9832,0.1333
4.2554,3.4358,0.0000,-0.1575,0.9880,0.2257
4.2767,3.4568,0.0000,-0.1575,0.9878,-0.0109
4.2983,3.4777,0.0000,-0.1575,0.9728,-0.6940
4.3200,3.4988,0.0000,-0.1575,0.9682,-0.2130
4.3414,3.5199,0.0000,-0.1575,0.9879,0.9211
4.3628,3.5411,0.0000,-0.1575,0.9889,0.0454
4.3843,3.5621,0.0000,-0.1575,0.9781,-0.5003
4.4055,3.5832,0.0000,-0.1575,0.9967,0.8782
4.4268,3.6043,0.0000,-0.1575,0.9851,-0.5428
4.4478,3.6253,0.0000,-0.1575,1.0007,0.7406
4.4694,3.6462,0.0000,-0.1575,0.9674,-1.5403
4.4908,3.6672,0.0000,-0.1575,0.9839,0.7704
4.5120,3.6882,0.0000,-0.1575,0.9910,0.3379
4.5336,3.7091,0.0000,-0.1575,0.9696,-0.9928
4.5551,3.7302,0.0000,-0.1575,0.9771,0.3503
4.5765,3.7512,0.0000,-0.1575,0.9838,0.3127
4.5977,3.7723,0.0000,-0.1575,0.9976,0.6536
4.6188,3.7933,0.0000,-0.1575,0.9935,-0.1960
4.6399,3.8143,0.0000,-0.1575,0.9942,0.0314
4.6611,3.8351,0.0000,-0.1575,0.9822,-0.5660
4.6823,3.8560,0.0000,-0.1575,0.9813,-0.0406
4.7038,3.8769,0.0000,-0.1575,0.9769,-0.2063
4.7254,3.8978,0.0000,-0.1575,0.9689,-0.3693
4.7471,3.9188,0.0000,-0.1575,0.9661,-0.1265
4.7683,3.9400,0.0000,-0.1575,0.9959,1.4035
4.7900,3.9610,0.0000,-0.1575,0.9715,-1.1256
4.8115,3.9821,0.0000,-0.1575,0.9821,0.4934
4.8330,4.0032,0.0000,-0.1575,0.9823,0.0082
4.8543,4.0243,0.0000,-0.1575,0.9881,0.2725
4.8756,4.0454,0.0000,-0.1575,0.9935,0.2542
4.8969,4.0664,0.0000,-0.1575,0.9831,-0.4856
4.9185,4.0875,0.0000,-0.1575,0.9762,-0.3231
4.9398,4.1086,0.0000,-0.1575,0.9911,0.7053
4.9614,4.1296,0.0000,-0.1575,0.9731,-0.8340
4.9827,4.1506,0.0000,-0.1575,0.9874,0.6683
5.0043,4.1718,0.0000,-0.1575,0.9802,-0.3344
5.0254,4.1928,0.0000,-0.1575,0.9955,0.7245
5.0467,4.2138,0.0000,-0.1575,0.9879,-0.3606
5.0682,4.2348,0.0000,-0.1575,0.9719,-0.7397
5.0901,4.2558,0.0000,-0.1575,0.9622,-0.4454
5.1115,4.2770,0.0000,-0.1575,0.9910,1.3484
5.1326,4.2981,0.0000,-0.1575,0.9970,0.2835
5.1542,4.3191,0.0000,-0.1575,0.9749,-1.0228
5.1757,4.3402,0.0000,-0.1575,0.9822,0.3378
5.1970,4.3613,0.0000,-0.1575,0.9909,0.4117
5.2180,4.3824,0.0000,-0.1575,1.0020,0.5247
5.2393,4.4033,0.0000,-0.1575,0.9803,-1.0155
5.2610,4.4243,0.0000,-0.1575,0.9693,-0.5071
5.2824,4.4453,0.0000,-0.1575,0.9780,0.4048
5.3038,4.4663,0.0000,-0.1575,0.9858,0.3642
5.3250,4.4874,0.0000,-0.1575,0.9931,0.3417
5.3460,4.5084,0.0000,-0.1575,0.9993,0.2992
5.3677,4.5293,0.0000,-0.1575,0.9635,-1.6547
5.3885,4.5503,0.0000,-0.1575,1.0084,2.1580
5.4099,4.5711,0.0000,-0.1575,0.9763,-1.5026
5.4311,4.5921,0.0000,-0.1575,0.9873,0.5189
5.4527,4.6130,0.0000,-0.1575,0.9661,-0.9800
5.4744,4.6340,0.0000,-0.1575,0.9669,0.0337
5.4959,4.6551,0.0000,-0.1575,0.9845,0.8236
5.5173,4.6762,0.0000,-0.1575,0.9859,0.0650
5.5389,4.6973,0.0000,-0.1575,0.9744,-0.5333
5.5605,4.7184,0.0000,-0.1575,0.9797,0.2461
5.5817,4.7395,0.0000,-0.1575,0.9968,0.8038
5.6033,4.7606,0.0000,-0.1575,0.9742,-1.0452
5.6245,4.7818,0.0000,-0.1575,1.0032,1.3762
5.6460,4.8028,0.0000,-0.1575,0.9758,-1.2759
5.6670,4.8239,0.0000,-0.1575,1.0025,1.2720
5.6886,4.8448,0.0000,-0.1575,0.9722,-1.4068
5.7098,4.8659,0.0000,-0.1575,0.9900,0.8409
5.7316,4.8868,0.0000,-0.1575,0.9599,-1.3796
5.7530,4.9079,0.0000,-0.1575,0.9871,1.2742
5.7746,4.9290,0.0000,-0.1575,0.9745,-0.5863
5.7962,4.9502,0.0000,-0.1575,0.9807,0.2873
5.8176,4.9713,0.0000,-0.1575,0.9905,0.4584
5.8395,4.9924,0.0000,-0.1575,0.9647,-1.1769
5.8604,5.0137,0.0000,-0.1575,1.0125,2.2781
5.8818,5.0347,0.0000,-0.1575,0.9863,-1.2273
5.9033,5.0557,0.0000,-0.1575,0.9772,-0.4206
5.9246,5.0768,0.0000,-0.1575,0.9892,0.5594
5.9461,5.0978,0.0000,-0.1575,0.9792,-0.4620
5.9676,5.1189,0.0000,-0.1575,0.9776,-0.0756
5.9891,5.1400,0.0000,-0.1575,0.9805,0.1346
6.0106,5.1611,0.0000,-0.1575,0.9823,0.0844
6.0322,5.1822,0.0000,-0.1575,0.9793,-0.1410
6.0535,5.2034,0.0000,-0.1575,0.9917,0.5848
6.0748,5.2244,0.0000,-0.1575,0.9911,-0.0292
6.0962,5.2455,0.0000,-0.1575,0.9785,-0.5879
6.1174,5.2665,0.0000,-0.1575,0.9946,0.7592
6.1387,5.2875,0.0000,-0.1575,0.9891,-0.2582
6.1599,5.3085,0.0000,-0.1575,0.9864,-0.1280
6.1811,5.3294,0.0000,-0.1575,0.9876,0.0597
6.2027,5.3503,0.0000,-0.1575,0.9693,-0.8503
6.2240,5.3713,0.0000,-0.1575,0.9865,0.8065
6.2454,5.3924,0.0000,-0.1575,0.9837,-0.1272
6.2669,5.4134,0.0000,-0.1575,0.9760,-0.3586
6.2883,5.4344,0.0000,-0.1575,0.9796,0.1646
6.3093,5.4555,0.0000,-0.1575,1.0027,1.1042
6.3308,5.4764,0.0000,-0.1575,0.9749,-1.2994
6.3521,5.4974,0.0000,-0.1575,0.9840,0.4289
6.3735,5.5183,0.0000,-0.1575,0.9806,-0.1598
6.3950,5.5393,0.0000,-0.1575,0.9721,-0.3935
6.4164,5.5603,0.0000,-0.1575,0.9856,0.6323
6.4379,5.5814,0.0000,-0.1575,0.9766,-0.4170
6.4595,5.6024,0.0000,-0.1575,0.9764,-0.0114
6.4810,5.6236,0.0000,-0.1575,0.9853,0.4143
6.5028,5.6447,0.0000,-0.1575,0.9654,-0.9090
6.5244,5.6659,0.0000,-0.1575,0.9827,0.8017
6.5460,5.6872,0.0000,-0.1575,0.9867,0.1861
6.5676,5.7084,0.0000,-0.1575,0.9837,-0.1409
6.5888,5.7296,0.0000,-0.1575,0.9978,0.6666
6.6105,5.7507,0.0000,-0.1575,0.9723,-1.1749
6.6319,5.7719,0.0000,-0.1575,0.9914,0.8899
6.6535,5.7930,0.0000,-0.1575,0.9795,-0.5488
6.6749,5.8142,0.0000,-0.1575,0.9885,0.4187
6.6960,5.8353,0.0000,-0.1575,0.9983,0.4654
6.7176,5.8563,0.0000,-0.1575,0.9775,-0.9708
6.7386,5.8774,0.0000,-0.1575,1.0009,1.1115
6.7603,5.8984,0.0000,-0.1575,0.9666,-1.5807
6.7815,5.9194,0.0000,-0.1575,0.9913,1.1638
6.8028,5.9404,0.0000,-0.1575,0.9868,-0.2137
6.8239,5.9614,0.0000,-0.1575,0.9908,0.1894
6.8453,5.9823,0.0000,-0.1575,0.9819,-0.4171
6.8662,6.0032,0.0000,-0.1575,0.9980,0.7695
6.8879,6.0241,0.0000,-0.1575,0.9613,-1.6927
6.9090,6.0450,0.0000,-0.1575,0.9940,1.5478
6.9302,6.0660,0.0000,-0.1575,0.9889,-0.2395
6.9513,6.0869,0.0000,-0.1575,0.9907,0.0820
6.9728,6.1077,0.0000,-0.1575,0.9670,-1.0969
6.9943,6.1287,0.0000,-0.1575,0.9736,0.3077
7.0158,6.1497,0.0000,-0.1575,0.9798,0.2899
7.0371,6.1707,0.0000,-0.1575,0.9846,0.2237
7.0585,6.1917,0.0000,-0.1575,0.9849,0.0161
7.0795,6.2127,0.0000,-0.1575,1.0004,0.7346
7.1008,6.2336,0.0000,-0.1575,0.9811,-0.9055
7.1222,6.2546,0.0000,-0.1575,0.9773,-0.1792
7.1434,6.2755,0.0000,-0.1575,0.9907,0.6334
7.1645,6.2964,0.0000,-0.1575,0.9885,-0.1033
7.1854,6.3173,0.0000,-0.1575,1.0014,0.6223
7.2067,6.3380,0.0000,-0.1575,0.9704,-1.4532
7.2284,6.3589,0.0000,-0.1575,0.9596,-0.4969
7.2499,6.3799,0.0000,-0.1575,0.9817,1.0304
7.2711,6.4009,0.0000,-0.1575,0.9888,0.3355
7.2926,6.4218,0.0000,-0.1575,0.9735,-0.7136
7.3141,6.4429,0.0000,-0.1575,0.9788,0.2503
7.3357,6.4639,0.0000,-0.1575,0.9726,-0.2880
7.3572,6.4850,0.0000,-0.1575,0.9825,0.4603
7.3787,6.5062,0.0000,-0.1575,0.9837,0.0566
7.4000,6.5273,0.0000,-0.1575,0.9920,0.3887
7.4216,6.5484,0.0000,-0.1575,0.9781,-0.6458
7.4431,6.5695,0.0000,-0.1575,0.9807,0.1203
7.4644,6.5906,0.0000,-0.1575,0.9919,0.5292
7.4860,6.6117,0.0000,-0.1575,0.9753,-0.7721
7.5073,6.6328,0.0000,-0.1575,0.9890,0.6431
7.5286,6.6539,0.0000,-0.1575,0.9901,0.0500
7.5497,6.6749,0.0000,-0.1575,0.9947,0.2186
7.5713,6.6958,0.0000,-0.1575,0.9705,-1.1222
7.5930,6.7169,0.0000,-0.1575,0.9712,0.0311
7.6146,6.7380,0.0000,-0.1575,0.9798,0.3999
7.6359,6.7591,0.0000,-0.1575,0.9885,0.4102
7.6572,6.7802,0.0000,-0.1575,0.9908,0.1082
7.6788,6.8013,0.0000,-0.1575,0.9761,-0.6843
7.7001,6.8224,0.0000,-0.1575,0.9908,0.6911
7.7216,6.8435,0.0000,-0.1575,0.9782,-0.5859
7.7434,6.8646,0.0000,-0.1575,0.9688,-0.4319
7.7646,6.8858,0.0000,-0.1575,1.0005,1.4961
7.7858,6.9068,0.0000,-0.1575,0.9958,-0.2224
7.8069,6.9279,0.0000,-0.1575,0.9950,-0.0357
7.8285,6.9488,0.0000,-0.1575,0.9704,-1.1411
7.8501,6.9698,0.0000,-0.1575,0.9718,0.0669
7.8712,6.9909,0.0000,-0.1575,0.9978,1.2298
7.8926,7.0119,0.0000,-0.1575,0.9847,-0.6166
7.9143,7.0329,0.0000,-0.1575,0.9631,-0.9917
7.9361,7.0540,0.0000,-0.1575,0.9687,0.2583
7.9575,7.0752,0.0000,-0.1575,0.9891,0.9504
7.9787,7.0963,0.0000,-0.1575,1.0005,0.5423
8.0002,7.1174,0.0000,-0.1575,0.9780,-1.0454
8.0212,7.1384,0.0000,-0.1575,1.0049,1.2811
8.0427,7.1594,0.0000,-0.1575,0.9751,-1.3860
8.0639,7.1804,0.0000,-0.1575,0.9912,0.7604
8.0851,7.2014,0.0000,-0.1575,0.9869,-0.2023
8.1063,7.2223,0.0000,-0.1575,0.9882,0.0593
8.1278,7.2432,0.0000,-0.1575,0.9715,-0.7747
8.1496,7.2642,0.0000,-0.1575,0.9648,-0.3087
8.1711,7.2853,0.0000,-0.1575,0.9810,0.7544
8.1922,7.3064,0.0000,-0.1575,0.9989,0.8423
8.2136,7.3274,0.0000,-0.1575,0.9828,-0.7485
8.2351,7.3485,0.0000,-0.1575,0.9772,-0.2612
